title,rooms,size_m2,monthly_rent
1 MÅNEDS GRATIS HUSLEJE!,3.0,77.0,8995.0
Lys 3-værelses på Stadion Allé,3.0,88.0,10900.0
STOR 4'ER MED SKØN ALTAN,4.0,102.0,12295.0
PERFEKT 3'ER TIL BØRNEFAMILIEN!,3.0,98.0,11695.0
PERFEKT TIL PARRET ELLER SOM DELEBOLIG,3.0,79.0,11095.0
DEJLIG 2'ER PÅ GOD BELIGGENHED!,2.0,64.0,8595.0
Charmerende 3ér i det skønne Højbjerg ,3.0,77.0,8900.0
Et værelseslejlighed ,1.0,27.0,4000.0
Mindre værelseslejlighed med egen terrasse og P-plads,1.0,50.0,4500.0
"🌿 Lys og charmerende 2-værelses lejlighed i Øgaderne, Århus. 🌿",2.0,55.0,8000.0
"Moderne, lys og rummelig 2-værelses lejlighed",2.0,53.0,5995.0
Rækkehus,2.0,65.0,7500.0
3 værelses lejlighed på Engtoften i Aarhus udlejes,3.0,55.0,7995.0
Dejlig 3 værelses lejlighed centralt på Frederiksbjerg,3.0,71.0,12500.0
3 værelses lejlighed på Engsøvej i Risskov udlejes,3.0,78.0,9695.0
2 værelses lejlighed på Nordlandsvej i Risskov udlejes,2.0,47.0,7795.0
Lejlighed midt i Aarhus C. ,3.0,75.0,11500.0
Fantastisk 4-værelses lejlighed tæt på Aarhus C,4.0,108.0,12100.0
Fantastisk 3-værelses lejlighed tæt på Aarhus C,3.0,85.0,10250.0
4 værelses lejlighed på Broloftet i Risskov udlejes,4.0,92.0,11950.0
Ledigt værelse i Brabrand – 2.900 kr./md inkl. forbrug,1.0,9.0,2900.0
Fantastisk 4-værelses lejlighed tæt på Aarhus C,4.0,116.0,12300.0
Fantastisk 4-værelses lejlighed tæt på Aarhus C,4.0,113.0,12450.0
Moderne 4-værelses rækkehus i Viby J,4.0,120.0,15195.0
Flot 2-værelses lejlighed i Skejbyen,2.0,47.0,7495.0
Nyopført 3-værelses lejlighed i Brokvarteret,3.0,66.0,10995.0
Nyopført 4-værelses townhouse i to plan i Brokvarteret,4.0,119.0,14995.0
5 værelses rækkehus på Vistihøjen i Aarhus N udlejes,5.0,118.0,13350.0
"EGEN ALTAN, VASKEMASKINE OG TØRRETUMBLER",1.0,34.0,6795.0
Nyopført lækker 3-vær. lejlighed med egen have i populært område i Aarhus N.,3.0,64.0,8195.0
LUKSURIØST HALV DOBBELTVILLA I HØIRIISPARKEN,5.0,150.0,13998.0
Stor 3-værelses med altan,3.0,86.0,11450.0
Skøn 2-værelses med sydvendt altan,2.0,61.0,8700.0
Stor 2-væres med skøn udsigt,2.0,83.0,10850.0
Rækkehus af god kvalitet udlejes,4.0,108.0,11700.0
DELEVENLIG 3'ER I RISSKOV ENGBY,3.0,69.0,8895.0
Delevenlig 3-værelses med lav indflytningspris,3.0,46.0,7495.0
Velfungerende ejendom i Viby,2.0,49.0,6700.0
2 værelses lejlighed på Onsholtvej i Viby J udlejes,2.0,61.0,6820.0
Dejlig 2 vær. på Trøjborg,2.0,50.0,5981.0
udlejes til PENDLER,1.0,30.0,3000.0
Skøn 2-værelseslejlighed i midtbyen/ Beautiful 2-bedroom apartment in the city center,2.0,43.0,7850.0
2 værelses lejlighed på Sonnesgade i Aarhus C udlejes,2.0,72.0,9595.0
4 værelses rækkehus på Skæring Enge i Egå udlejes,4.0,134.0,14750.0
4. værelses lejlighed i Hørning,4.0,112.0,7651.0
Fully furnished and equipped apartment within 30 min walk of entire Aarhus. ,2.0,50.0,7900.0
Skøn 3-værelses på Frederiksbjerg,3.0,88.0,10900.0
Nyrenoveret 2 værelses lejlighed udlejes på Trøjborg ,2.0,60.0,8650.0
"Dejlig, lys 2-værelses lejlighed (også delevenlig)",2.0,41.0,6250.0
Lys og indbydende lejlighed i skønne omgivelser,3.0,84.0,7595.0
NYOPFØRT RÆKKEHUS I VIBY - LAV INDFLYTNINGSPRIS,4.0,115.0,12495.0
Skøn lejlighed på 20 etage med en fremragende udsigt!,2.0,42.0,11995.0
Selmerhusene etape I - 5 vær med terrasse,5.0,141.0,20395.0
"Boligen til den studerende, singlen eller det unge par",1.0,37.0,6195.0
Nyopført 1-værelses lejlighed i Skejbyen,1.0,43.0,5995.0
Nyopført 1-værelses lejlighed i Skejbyen,1.0,44.0,6495.0
Velindrettet 1-værelses på Frederiksbjerg,1.0,28.0,5500.0
To værelses lejlighed ved Aarhus Å ,2.0,75.0,10995.0
Et-værelses med god beliggenhed,1.0,29.0,4295.0
Fin lejlighed med altan,2.0,58.0,6950.0
Værelse med hems og eget køkkenet,1.0,23.0,3950.0
3 værelses nær Ingerslevs Boulevard,3.0,88.0,12900.0
Fed stor Lejlighed på 1 sal ,2.0,97.0,7500.0
Flot 1-værelses lejlighed - MicroLiving i Blomsterhaven,1.0,20.0,4195.0
Hyggelig møbleret lejlighed tæt på Aros,2.0,54.0,8600.0
3 værelses lejlighed på Arresøvej i Risskov udlejes,3.0,66.0,9195.0
3 værelses lejlighed på Arresøvej i Risskov udlejes,3.0,67.0,9195.0
3 værelses lejlighed på Engsøvej i Risskov udlejes,3.0,67.0,9195.0
2 værelses lejlighed på Brassøvej i Risskov udlejes,2.0,57.0,7795.0
2 værelses lejlighed på Brassøvej i Risskov udlejes,2.0,57.0,7795.0
Skøn 4-vær. lejlighed centralt i Aarhus,4.0,139.0,15990.0
Dejlig 3-værelses lejlighed i Skejbyen ,3.0,61.0,8795.0
Flot 3-værelses lejlighed i Højbjerg ,3.0,79.0,8975.0
1-værelses lejlighed med fede fællesarealer,1.0,20.0,4495.0
1-værelses lejlighed med fede fællesarealer,1.0,20.0,4495.0
Nyrenoveret lejlighed m/altan og tæt på Universitet,3.0,80.0,11000.0
Charmerende lejlighed m/ stor altan og hems,2.0,64.0,10000.0
3-værelses lejlighed i Brabrand,3.0,86.0,9177.0
Pragtfuld taglejlighed med sydvendt tagterrasse og udsigt i særklasse,3.0,135.0,16900.0
Moderniseret 2-værelses i Aarhus C,2.0,47.0,8200.0
Delevenlig 2-værelses med altan ,2.0,66.0,8600.0
værelse så tæt på centrum,1.0,25.0,3900.0
Tæt på Uni og byens liv,2.0,60.0,7850.0
Fin lille lejlighed på Frederiksbjerg,2.0,56.0,7700.0
Stor lys lejl. m/altan - udlejes IKKE som dele-lejlighed ,3.0,109.0,13800.0
2 vær. apartment i Århus N,2.0,46.0,6480.0
Stort værelse ved Trøjborg / Universitet / Aarhus N,1.0,26.0,3895.0
1'ER I AARHUS MED EGEN ALTAN ,1.0,35.0,6795.0
SKØN 3'ER I RISSKOV - SENIORFÆLLESSKAB (+55),2.0,59.0,8495.0
2-værelses på Ringgaden,2.0,64.0,7580.0
"Hyggelig 2-værelses lejlighed i Risskov – perfekt til dig, der ønsker en skøn beliggenhed tæt på skov og strand.",2.0,50.0,5500.0
Værelsesleje på Trøjborg,1.0,12.0,3750.0
Højbjerg Torv 2.vær.,2.0,40.0,4800.0
2. vær. 1 sal Højbjerg Torv,2.0,56.0,6380.0
